"";"...1";"CODGEO";"TYM5Q218";"TYM5PPSOC18";"TP6018";"clust"
"1";1;13010;15820;103;11;"2"
"2";2;13018;13520;113;17;"1"
"3";3;13027;13380;157;18;"1"
"4";4;13034;NA;NA;NA;"2"
"5";5;13036;14550;115;14;"2"
"6";6;13045;15100;132;13;"2"
"7";7;13052;14370;141;11;"2"
"8";8;13064;17970;85;10;"3"
"9";9;13066;15800;122;13;"2"
"10";10;13076;14420;119;14;"2"
"11";11;13083;16670;117;10;"3"
"12";12;13089;13670;153;16;"1"
"13";13;13116;NA;NA;NA;"2"
"14";14;30011;17800;87;10;"3"
"15";15;30351;17370;96;10;"3"
"16";16;84001;14500;138;9;"2"
"17";17;84004;15030;117;15;"2"
"18";18;84007;9460;267;32;"1"
"19";19;84012;15810;122;16;"2"
"20";20;84013;NA;NA;NA;"2"
"21";21;84016;14490;15;12;"2"
"22";22;84025;NA;NA;NA;"2"
"23";23;84027;15550;124;12;"2"
"24";24;84030;15470;13;13;"2"
"25";25;84031;11300;21;29;"1"
"26";26;84034;14950;149;12;"2"
"27";27;84035;11800;194;27;"1"
"28";28;84036;19280;7;NA;"3"
"29";29;84038;17320;9;9;"3"
"30";30;84039;12710;177;15;"1"
"31";31;84043;15020;137;12;"2"
"32";32;84050;NA;NA;NA;"2"
"33";33;84051;NA;NA;NA;"2"
"34";34;84054;14580;138;16;"2"
"35";35;84055;NA;NA;NA;"2"
"36";36;84056;14030;139;13;"2"
"37";37;84062;NA;NA;NA;"2"
"38";38;84067;18240;85;12;"3"
"39";39;84071;NA;NA;NA;"2"
"40";40;84072;14660;126;15;"2"
"41";41;84073;NA;NA;NA;"2"
"42";42;84077;NA;NA;NA;"2"
"43";43;84080;13590;158;18;"1"
"44";44;84081;15990;141;11;"2"
"45";45;84086;NA;NA;NA;"2"
"46";46;84087;11770;204;23;"1"
"47";47;84088;15940;11;12;"2"
"48";48;84092;12600;197;23;"1"
"49";49;84099;15960;106;11;"2"
"50";50;84108;NA;NA;NA;"2"
"51";51;84114;NA;NA;NA;"2"
"52";52;84119;16730;12;9;"3"
"53";53;84122;12620;162;16;"1"
"54";54;84124;NA;NA;NA;"2"
"55";55;84129;12780;189;22;"1"
"56";56;84131;NA;NA;NA;"2"
"57";57;84132;15500;125;13;"2"
"58";58;84139;NA;NA;NA;"2"
"59";59;84141;14360;155;12;"2"
"60";60;84142;15200;102;12;"2"
